timestamp,beats per minute
2024-10-30T11:30:02Z,80.0
2024-10-30T11:30:05Z,80.0
2024-10-30T11:30:08Z,81.0
2024-10-30T11:30:10Z,83.0
2024-10-30T11:30:12Z,84.0
2024-10-30T11:30:14Z,85.0
2024-10-30T11:30:16Z,86.0
2024-10-30T11:30:18Z,85.0
2024-10-30T11:30:20Z,82.0
2024-10-30T11:30:22Z,81.0
2024-10-30T11:30:23Z,83.0
2024-10-30T11:30:26Z,83.0
2024-10-30T11:30:27Z,84.0
2024-10-30T11:30:29Z,93.0
2024-10-30T11:30:31Z,98.0
2024-10-30T11:30:34Z,98.0
2024-10-30T11:30:35Z,99.0
2024-10-30T11:30:37Z,96.0
2024-10-30T11:30:39Z,95.0
2024-10-30T11:30:41Z,96.0
2024-10-30T11:30:43Z,94.0
2024-10-30T11:30:45Z,92.0
2024-10-30T11:30:47Z,89.0
2024-10-30T11:30:48Z,88.0
2024-10-30T11:30:50Z,87.0
2024-10-30T11:30:53Z,87.0
2024-10-30T11:30:56Z,86.0
2024-10-30T11:30:58Z,84.0
2024-10-30T11:31:00Z,82.0
2024-10-30T11:31:02Z,81.0
2024-10-30T11:31:04Z,80.0
2024-10-30T11:31:06Z,78.0
2024-10-30T11:31:08Z,76.0
2024-10-30T11:31:11Z,76.0
2024-10-30T11:31:14Z,76.0
2024-10-30T11:31:15Z,77.0
2024-10-30T11:31:17Z,79.0
2024-10-30T11:31:19Z,82.0
2024-10-30T11:31:21Z,82.0
2024-10-30T11:31:23Z,81.0
2024-10-30T11:31:26Z,81.0
2024-10-30T11:31:29Z,82.0
2024-10-30T11:31:31Z,81.0
2024-10-30T11:31:34Z,81.0
2024-10-30T11:31:35Z,82.0
2024-10-30T11:31:36Z,83.0
2024-10-30T11:31:38Z,84.0
2024-10-30T11:31:41Z,84.0
2024-10-30T11:31:44Z,85.0
2024-10-30T11:31:46Z,84.0
2024-10-30T11:31:48Z,86.0
2024-10-30T11:31:50Z,88.0
2024-10-30T11:31:52Z,87.0
2024-10-30T11:31:54Z,86.0
2024-10-30T11:31:56Z,85.0
2024-10-30T11:31:58Z,84.0
2024-10-30T11:31:59Z,83.0
2024-10-30T11:32:01Z,82.0
2024-10-30T11:32:04Z,82.0
2024-10-30T11:32:07Z,81.0
2024-10-30T11:32:09Z,82.0
2024-10-30T11:32:12Z,82.0
2024-10-30T11:32:13Z,83.0
2024-10-30T11:32:15Z,84.0
2024-10-30T11:32:17Z,85.0
2024-10-30T11:32:19Z,84.0
2024-10-30T11:32:22Z,84.0
2024-10-30T11:32:23Z,83.0
2024-10-30T11:32:26Z,83.0
2024-10-30T11:32:28Z,84.0
2024-10-30T11:32:31Z,84.0
2024-10-30T11:32:32Z,83.0
2024-10-30T11:32:35Z,83.0
2024-10-30T11:32:38Z,82.0
2024-10-30T11:32:40Z,84.0
2024-10-30T11:32:42Z,85.0
2024-10-30T11:32:44Z,89.0
2024-10-30T11:32:47Z,84.0
2024-10-30T11:32:49Z,82.0
2024-10-30T11:32:51Z,81.0
2024-10-30T11:32:54Z,81.0
2024-10-30T11:32:55Z,80.0
2024-10-30T11:32:58Z,80.0
2024-10-30T11:32:59Z,80.0
2024-10-30T11:33:01Z,80.0
2024-10-30T11:33:04Z,80.0
2024-10-30T11:33:05Z,79.0
2024-10-30T11:33:08Z,79.0
2024-10-30T11:33:09Z,78.0
2024-10-30T11:33:12Z,78.0
2024-10-30T11:33:14Z,79.0
2024-10-30T11:33:17Z,79.0
2024-10-30T11:33:18Z,80.0
2024-10-30T11:33:20Z,82.0
2024-10-30T11:33:23Z,82.0
2024-10-30T11:33:24Z,81.0
2024-10-30T11:33:26Z,82.0
2024-10-30T11:33:28Z,83.0
2024-10-30T11:33:30Z,84.0
2024-10-30T11:33:32Z,83.0
2024-10-30T11:33:34Z,82.0
2024-10-30T11:33:35Z,80.0
2024-10-30T11:33:37Z,81.0
2024-10-30T11:33:39Z,80.0
2024-10-30T11:33:41Z,81.0
2024-10-30T11:33:43Z,82.0
2024-10-30T11:33:46Z,82.0
2024-10-30T11:33:49Z,82.0
2024-10-30T11:33:52Z,82.0
2024-10-30T11:33:53Z,81.0
2024-10-30T11:33:55Z,82.0
2024-10-30T11:33:57Z,84.0
2024-10-30T11:34:00Z,84.0
2024-10-30T11:34:03Z,84.0
2024-10-30T11:34:04Z,85.0
2024-10-30T11:34:06Z,86.0
2024-10-30T11:34:09Z,86.0
2024-10-30T11:34:10Z,85.0
2024-10-30T11:34:12Z,86.0
2024-10-30T11:34:14Z,88.0
2024-10-30T11:34:16Z,94.0
2024-10-30T11:34:18Z,98.0
2024-10-30T11:34:21Z,98.0
2024-10-30T11:34:22Z,97.0
2024-10-30T11:34:23Z,96.0
2024-10-30T11:34:25Z,92.0
2024-10-30T11:34:27Z,90.0
2024-10-30T11:34:29Z,88.0
2024-10-30T11:34:31Z,89.0
2024-10-30T11:34:33Z,91.0
2024-10-30T11:34:35Z,90.0
2024-10-30T11:34:37Z,91.0
2024-10-30T11:34:39Z,95.0
2024-10-30T11:34:41Z,99.0
2024-10-30T11:34:44Z,99.0
2024-10-30T11:34:45Z,93.0
2024-10-30T11:34:47Z,86.0
2024-10-30T11:34:48Z,84.0
2024-10-30T11:34:50Z,89.0
2024-10-30T11:34:53Z,89.0
2024-10-30T11:34:54Z,88.0
2024-10-30T11:34:57Z,88.0
2024-10-30T11:35:00Z,90.0
2024-10-30T11:35:03Z,90.0
2024-10-30T11:35:04Z,88.0
2024-10-30T11:35:06Z,86.0
2024-10-30T11:35:08Z,86.0
